date,price,slope_up,slope_down,slope_up_prev,slope_down_prev,slope,vol,in_market,asset_ret,strat_ret,strat_equity,bh_equity
2023-02-07,30.6006,0.4280221052631579,0.15678463414634145,0.4095862406015037,0.1263913320825516,0.4280221052631579,67.91840204786706,True,0.07396527580361578,0.07396527580361578,10719189.191578176,11897589.424572477
2023-02-08,29.4865,0.4226118045112783,0.18009751407129457,0.4280221052631579,0.15678463414634145,0.4226118045112783,70.70450855078002,True,-0.03640778285393098,-0.03640778285393098,10328927.279120995,11464424.572317416
2023-02-09,29.0409,0.41660172932330836,0.2068383771106942,0.4226118045112783,0.18009751407129457,0.41660172932330836,70.25677358813927,True,-0.015112000406965809,-0.015112000406965809,10172836.525875397,11291174.183514927
2023-02-10,28.5488,0.40214563909774437,0.23461502814258908,0.41660172932330836,0.2068383771106942,0.40214563909774437,70.89875772046432,True,-0.01694506712946231,-0.01694506712946231,10000457.128047392,11099844.479004815
2023-02-13,30.025,0.4037369172932331,0.2649390994371482,0.40214563909774437,0.23461502814258908,0.4037369172932331,72.30292430954765,True,0.05170795269853712,0.05170795269853712,10517560.292188216,11673794.712286314
2023-02-14,30.3128,0.4043650375939849,0.2844056941838649,0.4037369172932331,0.2649390994371482,0.4043650375939849,72.3095225744022,True,0.009585345545378932,0.009585345545378932,10618374.741883198,11785692.068429397
2023-02-15,30.7956,0.3877857894736842,0.30064827392120075,0.4043650375939849,0.2844056941838649,0.3877857894736842,69.76470916609182,True,0.015927265049747952,0.015927265049747952,10787496.41079472,11973405.909797983
2023-02-16,29.1708,0.32357082706766915,0.30586668855534704,0.3877857894736842,0.30064827392120075,0.32357082706766915,71.87418962004593,True,-0.05276078400810502,-0.05276078400810502,10218339.642676571,11341679.626749765
2023-02-17,28.0753,0.260263007518797,0.30587172607879926,0.32357082706766915,0.30586668855534704,0.260263007518797,70.30284838047673,True,-0.03755467796563694,-0.03755467796563694,9834593.18805235,10915746.500777751
2023-02-21,26.0792,0.18748330827067666,0.3014124108818011,0.260263007518797,0.30587172607879926,0.18748330827067666,72.5893474791575,True,-0.07109808265628503,-0.07109808265628503,9135372.468677267,10139657.853810402
2023-02-22,25.94,0.1110961654135338,0.28928748592870546,0.18748330827067666,0.3014124108818011,0.1110961654135338,72.62234955058054,True,-0.005337587042547276,-0.005337587042547276,9086611.622959612,10085536.54743404
2023-02-23,27.2026,0.048640827067669166,0.2809421013133208,0.1110961654135338,0.28928748592870546,0.048640827067669166,74.3476382922218,True,0.0486738627602159,0.0486738627602159,9528892.11005093,10576438.569206987
2023-02-24,25.745,-0.0186664661654135,0.2637309193245779,0.048640827067669166,0.2809421013133208,-0.0186664661654135,75.33642863351425,True,-0.05358311337886812,-0.05358311337886812,9018304.40374307,10009720.062208535
2023-02-27,26.1442,-0.07451165413533829,0.24314275797373358,-0.0186664661654135,0.2637309193245779,-0.07451165413533829,75.43447186695292,True,0.015505923480287453,0.015505923480287453,9158141.541749448,10164930.01555224
2023-02-28,25.9771,-0.15556270676691722,0.22623777673545967,-0.07451165413533829,0.24314275797373358,-0.15556270676691722,72.45940181690072,True,-0.006391474973416744,-0.006391474973416744,9099607.509282349,10099961.119751304
2023-03-01,25.3829,-0.22989902255639091,0.2057951594746717,-0.15556270676691722,0.22623777673545967,-0.22989902255639091,71.44117877364054,True,-0.02287399286294467,-0.02287399286294467,8891463.152059427,9868934.681182096
