up,down,vwin,ventry,vexit,cagr,maxdd,sharpe,calmar,final,time_in_mkt,trades
20,10,20,90.0,70.0,9.577564328071354,-29.93594035867465,0.5627307423298361,0.3199353089737175,491780.1926939237,22.323670394887014,81
20,10,20,90.0,80.0,10.607264920640525,-36.324820739731855,0.5856558982448539,0.2920114870391739,578779.1135983489,23.533439853914633,81
20,10,20,90.0,100.0,11.80799575261764,-40.82762962667632,0.6081501455033738,0.2892158046055759,698518.0400032534,25.24537776763296,81
20,10,20,90.0,120.0,11.80799575261764,-40.82762962667632,0.6081501455033738,0.2892158046055759,698518.0400032534,25.24537776763296,81
20,10,20,90.0,150.0,11.80799575261764,-40.82762962667632,0.6081501455033738,0.2892158046055759,698518.0400032534,25.24537776763296,81
20,10,20,120.0,,11.463681381413448,-44.80179571782534,0.5433022419485413,0.2558754888668978,661987.7578560364,29.46815795480484,95
20,10,20,120.0,60.0,1.4865140755609074,-47.28325665450706,0.1725350656913968,0.03143848754798517,129301.67905328072,16.183519744350605,96
20,10,20,120.0,70.0,9.236928565547853,-29.609775535374173,0.5425556255166211,0.311955372796146,465824.6783477218,22.6432321387811,95
20,10,20,120.0,80.0,10.263428203170921,-35.19634766785049,0.566804048654307,0.29160492162503204,548231.9101740066,23.85300159780872,95
20,10,20,120.0,100.0,11.897031817248195,-39.7789568574526,0.5897839099026021,0.29907852686738523,708268.9872069664,27.139922392147913,95
20,10,20,120.0,120.0,11.463681381413448,-44.80179571782534,0.5433022419485413,0.2558754888668978,661987.7578560364,29.46815795480484,95
20,10,20,120.0,150.0,11.463681381413448,-44.80179571782534,0.5433022419485413,0.2558754888668978,661987.7578560364,29.46815795480484,95
20,10,30,,60.0,2.6077726361426246,-47.32492566664253,0.23521473742534307,0.05510357595724108,156382.84364048814,16.975520475863647,100
20,10,30,,70.0,7.296253835826305,-29.609775535374173,0.4552816570407273,0.24641368277546127,339798.0847046288,21.82566918325326,100
20,10,30,,80.0,12.762159037466848,-37.2006753968279,0.6438767730220781,0.34306256274462904,805419.0572395968,25.39464653397392,100
20,10,30,,100.0,9.42397838269946,-47.567680115187606,0.4899020639997438,0.19811725860665913,477905.58372387994,27.407915808739418,100
20,10,30,,120.0,10.540633782998587,-46.907658389377126,0.5110071085287027,0.22471029560890757,570071.7333045914,29.48981926332647,100
20,10,30,,150.0,11.37558123100506,-51.12529655852804,0.520747079265529,0.222503965683257,649668.3838552048,30.679478380233355,100
20,10,30,90.0,,11.03652969994564,-40.82762962667634,0.5567817797892394,0.2703201190189716,616159.9670649713,26.90459849004804,87
20,10,30,90.0,60.0,3.0775508726663903,-49.297845623971426,0.2625150187714729,0.06242769503846045,169295.7738752652,16.678105696636926,87
20,10,30,90.0,70.0,7.787497760312867,-29.935940358674596,0.48124271995433393,0.2601387384865052,367856.0791722898,21.52825440402654,87
20,10,30,90.0,80.0,13.27842799895269,-39.09942934875961,0.6674882544343895,0.33960669554820333,871924.5629190078,25.097231754747195,87
20,10,30,90.0,100.0,11.03652969994564,-40.82762962667634,0.5567817797892394,0.2703201190189716,616159.9670649713,26.90459849004804,87
20,10,30,90.0,120.0,11.03652969994564,-40.82762962667634,0.5567817797892394,0.2703201190189716,616159.9670649713,26.90459849004804,87
20,10,30,90.0,150.0,11.03652969994564,-40.82762962667634,0.5567817797892394,0.2703201190189716,616159.9670649713,26.90459849004804,87
20,10,30,120.0,,9.70521965679274,-44.80179571782532,0.48164135666507857,0.21662568433459728,499694.79067121627,29.466941203385954,95
20,10,30,120.0,60.0,2.5712931072263245,-49.90352651745717,0.23360697788725687,0.0515252786058484,155419.97336109474,16.861130176161062,95
20,10,30,120.0,70.0,7.258107439175698,-29.609775535374162,0.45499908879816914,0.24512537862722375,337705.9020256332,21.711278883550676,95
20,10,30,120.0,80.0,12.722069380167135,-38.02012882945952,0.6441910984657312,0.33461405239399306,800459.9833756144,25.28025623427133,95
20,10,30,120.0,100.0,9.385075528841602,-43.52501017097775,0.4893802835578876,0.21562488996497745,474963.0545294278,27.293525509036833,95
