date,portfolio,strat_only,gld_only,tecl_bh
2023-11-06,3626712.9227054794,10758935.358378613,208636.77742375876,15166303.989449449
2023-11-07,3699297.8695721338,11118358.654448137,207771.9617660437,15672964.061984893
2023-11-08,3725195.7703684364,11296982.700265989,205700.95584888395,15924760.962743219
2023-11-09,3694373.1766093075,11131433.270346025,206520.25489303507,15691394.658753768
2023-11-10,3864642.1045053643,11980979.242873989,204267.18252161948,16888954.830201186
2023-11-13,3826345.0654199356,11771855.556392722,205405.09786071826,16594164.193867521
2023-11-14,3991709.136007099,12482001.330796499,207237.14155666725,17595219.25486324
2023-11-15,3996829.1961915987,12521225.178490164,206690.94219389983,17650511.04516986
2023-11-16,4051443.8082078816,12706374.837609468,209023.6686390523,17911506.758984566
2023-11-17,4031936.5608759597,12617074.509348037,209000.91033227032,17785624.793933462
2023-11-20,4150754.64376566,13174722.080434754,208659.5357305407,18571711.17705249
2023-11-21,4091026.993325267,12834899.013564572,210912.60810195626,18092680.5143423
2023-11-22,4121360.833266725,13000471.832779523,210013.65498406824,18326079.788987868
2023-11-24,4109233.806312421,12913323.319656922,211106.0537096031,18203231.124299437
2023-11-27,4115688.4248084333,12902423.908192849,212528.4478834766,18187866.798549358
2023-11-28,4148846.8673067195,12974322.600983744,215361.85707783248,18289218.595450114
2023-11-29,4159800.195164306,13015721.653111229,215680.47337278014,18347576.656775534
2023-11-30,4157529.100884454,13030948.084147947,214781.52025489212,18369040.55390709
2023-12-01,4200841.9697947465,13124622.210572,218491.1242603541,18501088.0316519
2023-12-04,4069053.3541158712,12651924.558879083,213768.77560309425,17834751.07154639
2023-12-05,4110811.424321541,12867573.8586618,212960.8557123341,18138740.520936437
2023-12-06,4043403.5157226548,12534299.794388056,213746.01729631223,17668941.641938742
2023-12-07,4142903.102129255,12983023.418719012,214098.77105143288,18301483.679525293
2023-12-08,4196533.149937779,13311970.46342011,211242.6035502949,18765182.987141516
2023-12-11,4254823.520938319,13647443.121422658,208909.87710514243,19238081.10781412
2023-12-12,4313170.115406479,13919741.293664565,208796.08557123257,19621925.48631725
2023-12-13,4421266.345869897,14283514.998601723,213507.05507510144,20134718.100890286
2023-12-14,4402097.473563397,14159341.231514256,214758.76194811004,19959676.88757014
2023-12-15,4437608.3169605965,14379364.329459593,212790.1684114692,20269831.849653885
2023-12-18,4468641.795881449,14494813.889516803,213757.39644970314,20432575.008242738
2023-12-19,4511686.80154675,14651662.501701498,215213.92808374955,20653676.228157017
2023-12-20,4361279.363176197,13991616.597160472,214041.87528447784,19723244.312561892
2023-12-21,4469080.469851073,14445439.087798655,215555.30268547926,20362973.953181744
2023-12-22,4481154.047008318,14473786.913323237,216511.15157032222,20402934.3883944
2023-12-26,4533945.220004091,14670046.4875615,218161.12881201546,20679591.163864236
2023-12-27,4541503.02581639,14676595.490157938,219151.1151570314,20688822.94757673
2023-12-28,4541169.723120498,14711492.318278957,217876.64997724074,20738015.16650189
2023-12-29,4503582.524940799,14547930.97843291,217535.2753755111,20507451.368282303
2024-01-02,4258265.061158734,13431372.814330164,217023.2134729167,18933498.186613984
2024-01-03,4150568.7269006595,12969060.0096116,215213.92808374963,18281800.197824005
2024-01-04,4093177.7711306564,12683359.771341981,215430.1319981784,17879063.633366372
2024-01-05,4092963.9523132797,12681184.566908164,215464.26945835137,17875997.36234758
2024-01-08,4277787.376569017,13634181.391164863,213780.15475648522,19219386.745796315
2024-01-09,4288595.048645167,13684351.42891258,213848.42967683112,19290108.80316526
2024-01-10,4357138.842265919,14033272.931532813,213359.12608101868,19781965.051104598
2024-01-11,4399129.685437297,14223006.892469622,213780.15475648522,20049423.01351805
2024-01-12,4440919.545683626,14356021.81306228,215873.91898042697,20236927.134850066
2024-01-16,4447974.371408477,14458513.703696541,213825.67137004918,20381404.54995063
2024-01-17,4386856.994578242,14240431.91723515,211470.18661811473,20073986.152324516
2024-01-18,4575430.796751922,15097485.853454027,213211.19708693583,21282129.904385187
2024-01-19,4790125.585474208,16118077.740223967,213848.42967683112,22720804.48400933
2024-01-22,4825026.291230711,16314360.703757217,213040.509786071,22997494.23013528
2024-01-23,4872972.984942295,16519344.485025732,213871.18798361305,23286449.0603364
2024-01-24,4930070.1184681235,16855191.37174808,212107.41920801,23759874.711506862
2024-01-25,4975848.859822202,17049275.741552524,212949.47655894308,24033465.215957902
2024-01-26,4848998.462326837,16438651.417319618,212801.54756486023,23172700.296736006
2024-01-29,4952791.843144013,16892263.404302917,214303.5958124706,23812133.201450814
2024-01-30,4871236.009112216,16486646.250633517,214599.4538006363,23240356.083086155
2024-01-31,4653080.221536122,15433332.740176376,214440.14565316247,21755555.55555565
2024-02-01,4790630.758102405,16026485.261053784,216670.45971779607,22591691.394658856
2024-02-02,4870490.969148224,16482272.452470899,214622.2121074183,23234190.570392456
2024-02-05,4887080.544731289,16602212.757165669,213438.78015475557,23403264.094955597
2024-02-06,4843507.535858096,16353607.940745875,214553.93718707238,23052818.991098028
2024-02-07,4978837.035617812,17012203.70899769,214497.04142011746,23981206.726013955
2024-02-08,5008067.060546255,17160491.83921704,214303.59581247068,24190240.685789753
2024-02-09,5144372.698159706,17849610.63742725,213472.9176149286,25161655.126937136
2024-02-12,5052015.493064459,17420019.45639589,212915.33909877023,24556083.08605352
2024-02-13,4849842.876450702,16536792.899086244,209979.5175238954,23311045.169798978
2024-02-14,4951898.904665152,17036201.125654634,209854.3468365945,24015034.619189024
2024-02-15,4934173.067460733,16903162.81576699,211265.36185707696,23827497.527200893
2024-02-16,4843762.707519572,16438651.41731962,212039.14428766412,23172700.296736002
2024-02-20,4748332.763107855,15932717.57744978,213324.9886208457,22459512.034289576
2024-02-21,4682348.63718864,15612143.90035413,213336.36777423669,22007616.221562903
2024-02-22,4996208.067142259,17132144.01369246,213427.4010013646,24150280.250577092
2024-02-23,4977080.429196036,16999129.093099806,214633.59126080928,23962776.12924508
2024-02-26,4986826.646352296,17062350.357450422,214155.6668183878,24051895.812726777
2024-02-27,4993804.690628996,17103796.18816788,213928.08375056807,24110319.815364428
2024-02-28,4944782.108131161,16853016.167314272,214314.97496586168,23756808.44048807
2024-02-29,5068754.448222406,17417820.862667095,215418.75284478752,24552983.84437861
2024-03-01,5286829.504856982,18340294.656965397,219492.48975876108,25853346.52159589
2024-03-04,5310762.674628338,18338119.452531576,223042.78561674923,25850280.250577096
2024-03-05,5040002.443116374,16979482.085310493,224385.52571688578,23935080.778107587
2024-03-06,5129959.610591033,17354576.209021494,226228.94856622576,24463831.190240793
2024-03-07,5305521.86604034,18163658.701221462,227514.79289940736,25604352.126607433
2024-03-08,5149750.570186388,17343676.797557417,229437.8698224843,24448466.86449071
2024-03-11,5125230.886244623,17210661.876964763,229858.89849795087,24260962.743158698
2024-03-12,5320077.187742454,18239977.970764957,227344.1055985426,25711935.377514128
2024-03-13,5206980.9085021,17638077.853562307,228937.1870732809,24863468.513023518
2024-03-14,5204460.618897978,17657701.472056635,227981.33818843795,24891130.893504895
2024-03-15,5031382.730762074,16842093.366555214,227253.07237141475,23741411.144081876
2024-03-18,5086015.998025514,17095071.98113763,227617.20527992636,24098021.76063315
2024-03-19,5131565.044594222,17324825.02579768,227355.48475193363,24421892.51566118
2024-03-20,5273024.289963483,17921018.15502343,230063.7232589887,25262314.540059462
2024-03-21,5276786.399447505,17947237.554704167,229824.76103777793,25299274.645565562
2024-03-22,5266372.911148746,17958136.966168243,227981.33818843795,25314638.971315652
2024-03-25,5193970.608990252,17582528.27796752,228709.60400546115,24785163.204747893
2024-03-26,5157193.603484628,17379415.640297987,229449.24897587535,24498846.027036056
2024-03-27,5216305.931961465,17610899.49278709,231110.60537095956,24825156.61061667
2024-03-28,5214280.538487777,17501718.26378647,234091.94355939835,24671249.587866914
2024-04-01,5257692.488203397,17632745.094305206,236481.56577150573,24855951.203429062
